currency_daily_BTC_CNY (1)
timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-05-13,315180.11687500,326823.74637500,292675.00000000,316031.54662500,49537.15000000,51367.19000000,46000.00000000,49670.97000000,147332.00212100,147332.00212100
2021-05-12,360563.00225000,369025.06362500,309217.50000000,315779.27350000,56670.02000000,58000.01000000,48600.00000000,49631.32000000,99842.78983600,99842.78983600
2021-05-11,355130.19075000,361787.21087500,345929.12500000,360563.00225000,55816.14000000,56862.43000000,54370.00000000,56670.02000000,64329.54055000,64329.54055000
2021-05-10,370557.28087500,378568.75000000,339757.50000000,355130.19075000,58240.83000000,59500.00000000,53400.00000000,55816.14000000,89586.34925000,89586.34925000
2021-05-09,374538.29712500,377296.25000000,357799.38675000,370557.34450000,58866.53000000,59300.00000000,56235.66000000,58240.84000000,69806.11991000,69806.11991000
2021-05-08,364669.80512500,378568.75000000,362026.25000000,374509.79312500,57315.49000000,59500.00000000,56900.00000000,58862.05000000,69709.90602800,69709.90602800
2021-05-07,358804.78900000,373160.62500000,351474.87087500,364665.09687500,56393.68000000,58650.00000000,55241.63000000,57314.75000000,74542.74782900,74542.74782900
2021-05-06,365437.24987500,371315.50000000,351210.00000000,358804.78900000,57436.11000000,58360.00000000,55200.00000000,56393.68000000,70181.67190800,70181.67190800
2021-05-05,338517.13062500,369469.22975000,336576.25000000,365437.24987500,53205.05000000,58069.82000000,52900.00000000,57436.11000000,77263.92343900,77263.92343900
2021-05-04,363740.24387500,363935.00000000,337509.56512500,338485.06362500,57169.39000000,57200.00000000,53046.69000000,53200.01000000,85324.62590300,85324.62590300
2021-05-03,359978.86112500,375269.41200000,359067.68750000,363740.24387500,56578.21000000,58981.44000000,56435.00000000,57169.39000000,57649.93128600,57649.93128600
2021-05-02,367735.63937500,368458.86475000,356524.27812500,359978.86112500,57797.35000000,57911.02000000,56035.25000000,56578.21000000,36812.87886300,36812.87886300
2021-05-01,367098.75312500,371939.47037500,362383.44075000,367754.85412500,57697.25000000,58458.07000000,56956.14000000,57800.37000000,42600.35183600,42600.35183600
2021-04-30,340743.68750000,368789.58750000,337295.27612500,367079.79287500,53555.00000000,57963.00000000,53013.01000000,57694.27000000,68578.91004500,68578.91004500
2021-04-29,348959.13837500,351183.53200000,332955.60575000,340743.68750000,54846.23000000,55195.84000000,52330.94000000,53555.00000000,52486.01945500,52486.01945500
2021-04-28,350013.65912500,359023.15000000,342386.23050000,348959.07475000,55011.97000000,56428.00000000,53813.16000000,54846.22000000,55130.45901500,55130.45901500
2021-04-27,343583.78025000,352864.25000000,338624.97500000,350013.65912500,54001.38000000,55460.00000000,53222.00000000,55011.97000000,54064.03467500,54064.03467500
2021-04-26,312187.26050000,345843.99475000,310193.76200000,343583.84387500,49066.76000000,54356.62000000,48753.44000000,54001.39000000,86310.80212400,86310.80212400
2021-04-25,318429.38200000,321738.32737500,298592.12500000,312187.32412500,50047.84000000,50567.91000000,46930.00000000,49066.77000000,58255.64500400,58255.64500400
2021-04-24,325190.93800000,325545.07475000,309581.05325000,318429.38200000,51110.56000000,51166.22000000,48657.14000000,50047.84000000,55361.51257300,55361.51257300
2021-04-23,328883.66937500,331688.89562500,302218.75000000,325283.70325000,51690.95000000,52131.85000000,47500.00000000,51125.14000000,132230.78071900,132230.78071900
2021-04-22,342223.73225000,353255.41650000,321306.25000000,328883.73300000,53787.62000000,55521.48000000,50500.00000000,51690.96000000,104656.63133700,104656.63133700
2021-04-21,359004.06250000,361122.20237500,340622.92725000,342223.79587500,56425.00000000,56757.91000000,53536.02000000,53787.63000000,66984.75690900,66984.75690900
