,prices,market_caps,total_volumes
179,"[1633132800000, 48181.87627260008]","[1633132800000, 906929641888.8245]","[1633132800000, 42089383189.81192]"
180,"[1633219200000, 47777.762019063]","[1633219200000, 900582483713.1118]","[1633219200000, 29742127387.956066]"
181,"[1633305600000, 48282.97113857447]","[1633305600000, 910331395887.4816]","[1633305600000, 26034594561.963406]"
182,"[1633392000000, 49260.232321130694]","[1633392000000, 927812140868.0522]","[1633392000000, 32691763060.319107]"
183,"[1633478400000, 51668.99422435564]","[1633478400000, 973040988102.9114]","[1633478400000, 35480330025.02791]"
184,"[1633564800000, 55415.00574202895]","[1633564800000, 1044675252844.3663]","[1633564800000, 48462388015.80152]"
185,"[1633651200000, 53894.59599452107]","[1633651200000, 1015246512238.866]","[1633651200000, 36549815857.28183]"
186,"[1633737600000, 54010.93747374405]","[1633737600000, 1016650501581.1074]","[1633737600000, 33935485256.826164]"
187,"[1633824000000, 55125.460337680444]","[1633824000000, 1038524699061.4408]","[1633824000000, 31927344846.446766]"
188,"[1633910400000, 54711.86959664297]","[1633910400000, 1030788036761.6326]","[1633910400000, 38579271671.06987]"
189,"[1633996800000, 57572.510855596534]","[1633996800000, 1084736227837.6608]","[1633996800000, 41913482915.37917]"
