,prices,market_caps,total_volumes
261,"[1642291200000, 14.107111958443145]","[1642291200000, 47176283.70562103]","[1642291200000, 451900.293985517]"
262,"[1642377600000, 14.131163195038468]","[1642377600000, 47246561.487991914]","[1642377600000, 279775.0887515713]"
263,"[1642464000000, 13.931524717480068]","[1642464000000, 46629255.37839719]","[1642464000000, 683842.1597888648]"
264,"[1642550400000, 13.466306631689044]","[1642550400000, 45221914.74648147]","[1642550400000, 631020.3516393822]"
265,"[1642636800000, 12.375884770341603]","[1642636800000, 41620312.63132072]","[1642636800000, 2024565.558971151]"
266,"[1642723200000, 12.808544685367359]","[1642723200000, 43031090.77134996]","[1642723200000, 4339883.51351518]"
267,"[1642809600000, 11.236782895242122]","[1642809600000, 37709459.51363447]","[1642809600000, 923137.8556693655]"
268,"[1642896000000, 10.659513115518678]","[1642896000000, 35773417.12254781]","[1642896000000, 657153.644719093]"
269,"[1642982400000, 10.604765415371595]","[1642982400000, 35577195.716083385]","[1642982400000, 655742.8481074674]"
270,"[1643068800000, 12.2381683903787]","[1643068800000, 41482214.48809011]","[1643068800000, 3924480.063760182]"
271,"[1643155200000, 14.601194625037973]","[1643155200000, 55125510.559329815]","[1643155200000, 9114974.9489947]"
272,"[1643241600000, 15.309109798452297]","[1643241600000, 63190609.21074229]","[1643241600000, 8598409.622761747]"
273,"[1643328000000, 14.721040448574913]","[1643328000000, 60876717.52285261]","[1643328000000, 5163144.4443182275]"
274,"[1643414400000, 14.581064797838149]","[1643414400000, 51573434.340187676]","[1643414400000, 4087372.7985392134]"
275,"[1643500800000, 14.413362244157124]","[1643500800000, 51006420.477711216]","[1643500800000, 5360027.402187535]"
276,"[1643587200000, 15.136430063966307]","[1643587200000, 53582106.049154304]","[1643587200000, 4235143.566444713]"
277,"[1643673600000, 15.918004808142435]","[1643673600000, 56399121.48115959]","[1643673600000, 5396805.90502399]"
278,"[1643760000000, 15.29761715198499]","[1643760000000, 54315813.664103605]","[1643760000000, 3888843.4980520215]"
279,"[1643846400000, 15.561678543277173]","[1643846400000, 55606789.04498997]","[1643846400000, 4123561.799214964]"
280,"[1643932800000, 15.042419752041756]","[1643932800000, 55032864.97498938]","[1643932800000, 2736445.2441270254]"
281,"[1644019200000, 15.336386254382893]","[1644019200000, 55792929.3590311]","[1644019200000, 2742210.3033452244]"
282,"[1644105600000, 15.300189594151323]","[1644105600000, 56143281.01867901]","[1644105600000, 2445305.5023127114]"
283,"[1644192000000, 15.301522894419705]","[1644192000000, 56063316.89295807]","[1644192000000, 3609511.355205907]"
284,"[1644278400000, 15.315299172262295]","[1644278400000, 56117895.237469815]","[1644278400000, 3014624.4799592816]"
285,"[1644364800000, 15.041259435468486]","[1644364800000, 56144470.95464492]","[1644364800000, 2714529.211239593]"
286,"[1644451200000, 15.178978085484077]","[1644451200000, 56773278.18994509]","[1644451200000, 2437269.335811576]"
287,"[1644537600000, 19.357731095346114]","[1644537600000, 72925063.45079659]","[1644537600000, 9743076.646830551]"
288,"[1644624000000, 25.069125550092217]","[1644624000000, 97210493.42886016]","[1644624000000, 30207397.60297772]"
289,"[1644710400000, 20.95500382843801]","[1644710400000, 79851207.98018783]","[1644710400000, 17595515.354205333]"
290,"[1644796800000, 19.616660591169993]","[1644796800000, 75445672.1839014]","[1644796800000, 5012078.59886625]"
291,"[1644883200000, 20.146311299850414]","[1644883200000, 77421849.72898321]","[1644883200000, 5414277.055456258]"
292,"[1644969600000, 21.921984752592852]","[1644969600000, 84322457.45635475]","[1644969600000, 5858722.833366826]"
293,"[1645056000000, 25.22962434302677]","[1645056000000, 97210216.68952167]","[1645056000000, 9732005.84272087]"
294,"[1645142400000, 24.24417690834481]","[1645142400000, 93654908.2514313]","[1645142400000, 7271184.373743329]"
295,"[1645228800000, 23.587901731342633]","[1645228800000, 91297466.75165254]","[1645228800000, 4876549.00796098]"
296,"[1645315200000, 23.795994763635107]","[1645315200000, 92003351.32964417]","[1645315200000, 4407354.058446334]"
297,"[1645401600000, 22.789649256251796]","[1645401600000, 88156366.40148363]","[1645401600000, 4296437.02005699]"
298,"[1645488000000, 21.46188005488206]","[1645488000000, 83327262.87755017]","[1645488000000, 4332108.514603618]"
299,"[1645574400000, 22.161839952891082]","[1645574400000, 86181396.41198815]","[1645574400000, 5314338.437680221]"
300,"[1645660800000, 21.87129069010175]","[1645660800000, 85151944.075049]","[1645660800000, 3392724.276302002]"
301,"[1645747200000, 21.010585221491045]","[1645747200000, 81856888.32364818]","[1645747200000, 3194499.285732263]"
302,"[1645833600000, 21.20320736971505]","[1645833600000, 90411676.9793042]","[1645833600000, 2369356.561418893]"
303,"[1645920000000, 20.982645754101124]","[1645920000000, 90625559.68821757]","[1645920000000, 1763003.598078619]"
304,"[1646006400000, 21.371655662066836]","[1646006400000, 92552114.95503986]","[1646006400000, 1959596.1178956714]"
305,"[1646092800000, 20.98358204567481]","[1646092800000, 90847396.6495779]","[1646092800000, 2901112.1681059995]"
306,"[1646179200000, 21.57669279627393]","[1646179200000, 93330867.45416223]","[1646179200000, 2843157.8994381176]"
307,"[1646265600000, 22.222672754609913]","[1646265600000, 96359986.96145223]","[1646265600000, 2240540.3424537126]"
308,"[1646352000000, 24.191294839590288]","[1646352000000, 106647534.80005756]","[1646352000000, 4137271.201932543]"
309,"[1646438400000, 24.060718244912493]","[1646438400000, 106019276.85120727]","[1646438400000, 2624149.386701953]"
310,"[1646524800000, 23.24074802460175]","[1646524800000, 102385673.07508154]","[1646524800000, 2028652.8700705697]"
311,"[1646611200000, 23.231627560312152]","[1646611200000, 102470459.78835051]","[1646611200000, 2446839.324923212]"
312,"[1646697600000, 21.999398433594724]","[1646697600000, 96966536.05269894]","[1646697600000, 3276707.8698851108]"
313,"[1646784000000, 21.989301740349926]","[1646784000000, 98917274.17142515]","[1646784000000, 1806812.9775105685]"
314,"[1646870400000, 21.889568243712297]","[1646870400000, 98522116.9555225]","[1646870400000, 1622168.7530829862]"
315,"[1646956800000, 21.84333486082651]","[1646956800000, 98408214.57641198]","[1646956800000, 1868573.8712066032]"
316,"[1647043200000, 22.41701936777632]","[1647043200000, 101095732.94632621]","[1647043200000, 2188899.6645796886]"
317,"[1647129600000, 22.86548668343538]","[1647129600000, 103246786.23878065]","[1647129600000, 1797426.5702263974]"
318,"[1647216000000, 22.523384049590582]","[1647216000000, 101804871.39475769]","[1647216000000, 1880018.5183627282]"
319,"[1647302400000, 22.831727194042085]","[1647302400000, 103025462.42175592]","[1647302400000, 1776822.5128413313]"
320,"[1647388800000, 25.532508381807062]","[1647388800000, 115113426.78511205]","[1647388800000, 4645967.905765248]"
321,"[1647475200000, 25.26004946434521]","[1647475200000, 113298178.86984341]","[1647475200000, 2982686.8139721113]"
322,"[1647561600000, 26.590328464183155]","[1647561600000, 120216704.28493275]","[1647561600000, 5683717.442965913]"
323,"[1647648000000, 29.99056411358387]","[1647648000000, 135950400.99733475]","[1647648000000, 5870267.96644201]"
324,"[1647734400000, 29.766933908293318]","[1647734400000, 135102935.31514338]","[1647734400000, 4477396.045043276]"
325,"[1647820800000, 31.422057506592193]","[1647820800000, 142867882.24342778]","[1647820800000, 3154773.9144643657]"
326,"[1647907200000, 35.41372951429694]","[1647907200000, 162167401.86588594]","[1647907200000, 12099066.895634215]"
327,"[1647993600000, 38.86083511521095]","[1647993600000, 179421178.6309831]","[1647993600000, 10514089.55882948]"
328,"[1648080000000, 38.100042067534275]","[1648080000000, 175419805.6728161]","[1648080000000, 5820894.076908921]"
329,"[1648166400000, 40.32976525394262]","[1648166400000, 185321730.85735768]","[1648166400000, 5941546.724085297]"
330,"[1648252800000, 44.615906093372466]","[1648252800000, 202988536.74783826]","[1648252800000, 9196519.776078735]"
331,"[1648339200000, 50.069183790980645]","[1648339200000, 231924660.28017506]","[1648339200000, 19312439.077409502]"
332,"[1648425600000, 49.42870763559067]","[1648425600000, 227329053.1961455]","[1648425600000, 8984807.336189909]"
